steady,346
one's,345
brings,345
monkey,345
dick,344
wishing,343
missed,343
promises,343
fake,342
dip,342
hoping,341
aah,341
pa,341
c,341
colors,340
boo,340
america,340
twenty,339
rules,339
chains,339
fingers,339
wah,339
shoulder,338
wondering,338
laughing,337
surprise,337
skies,336
jesus,336
shouldn't,335
foot,335
paid,335
pack,334
mr.,333
thunder,333
fame,333
doctor,333
fit,332
silver,332
dad,332
south,332
hill,332
bound,331
dj,331
sail,330
fair,330
changes,330
tha,330
clock,329
california,329
evening,329
deeper,328
ear,327
quick,327
least,327
color,327
bust,327
roses,326
wave,326
glory,326
falls,325
birds,325
lately,324
lock,324
lines,323
verse,323
eight,323
stood,323
human,323
seeing,321
busy,320
jam,319
leavin',318
dreamin',318
respect,317
asking,316
trip,316
ridin',316
aint,316
stare,315
chill,313
figure,313
beach,313
locked,313
sell,312
"you""",312
trees,312
[incomprehensible],312
wheels,312
mow,312
imagine,311
married,311
lifetime,311
holdin',311
handle,311
fighting,310
finger,310
callin',310
booty,309
deserve,309
standin',309
rose,309
book,309
misery,309
gal,309
monday,308
pour,308
question,307
dreamed,307
fa,307
dope,306
el,306
chase,306
'cos,306
dirt,305
cares,305
growing,305
strength,304
downtown,304
whatcha,304
cruel,302
solo,302
plain,301
lived,301
he'd,301
dah,301
paint,300
changing,299
cloud,299
lied,299
neck,299
tune,299
dime,298
it’s,298
brothers,297
fools,297
telephone,296
dare,296
quiet,296
problems,296
spinning,295
hungry,295
nothing's,294
awake,294
bite,294
wanting,294
flowers,294
law,294
spin,293
i'mma,293
kissing,293
built,292
don’t,292
woke,292
surrender,292
church,292
squeeze,292
bum,292
bridge,292
ol',291
hoe,291
sorrow,290
smiling,290
anytime,290
dee,290
surely,289
hush,289
beating,288
keeping,288
rhyme,288
switch,288
aye,288
written,288
box,287
nasty,287
turnin',287
plans,286
saved,286
spell,286
jerk,286
rainy,285
shines,285
store,285
join,284
laid,284
weather,284
begging,283
likes,283
mm,282
un,282
problem,282
hole,281
others,281
drag,281
team,280
bank,280
hero,280
seemed,279
record,279
foolish,279
tells,279
winter,279
letting,278
flying,278
touched,278
action,278
heartbeat,277
spring,277
nose,277
killing,277
watchin',277
hi,277
happens,275
movie,275
danger,275
tv,275
fever,274
marry,274
rings,274
wash,274
ta,274
state,274
grass,273
test,273
dab,273
self,272
coast,272
danced,272
â€~cause,272
guns,272
pump,272
although,271
mistakes,271
bell,271
everytime,271
oop,271
celebrate,270
remind,269
roof,269
calls,269
ok,269
oh...,269
boat,269
tongue,268
silence,268
bother,268
se,268
promised,268
super,268
race,268
'n',268
nobody's,267
plays,267
jealous,267
greatest,267
bus,266
legs,266
breeze,266
yuh,266
faster,265
east,265
view,265
you...,265
pulled,264
sweeter,264
sha,264
gas,263
acting,263
bill,263
sunny,263
table,262
hat,262
wrap,261
begun,261
poppin',260
thats,260
whoop,260
taught,260
passed,260
baby's,260
summertime,260
shall,259
ought,259
beauty,259
melody,259
miracle,259
pocket,258
spread,258
age,257
uhh,257
world's,257
ow,257
natural,257
underneath,256
regret,256
evil,256
won,256
disappear,255
sin,255
affair,255
beer,255
boss,255
ohhh,254
bear,253
crime,253
escape,252
smell,252
below,252
rocking,252
shadow,252
showed,251
goodnight,251
ding,251
lots,251
superman,250
zone,250
ooh...,250
forgot,250
older,249
dressed,249
drivin',249
exactly,249
jimmy,249
admit,248
walks,248
disco,248
cream,248
sang,247
yo',247
holy,247
fate,246
mood,246
reasons,246
doors,246
toes,246
daughter,246
beginning,245
thinks,245
attention,245
worried,245
troubles,245
starting,244
ship,244
guide,244
runs,243
aw,243
stopped,243
fancy,243
loneliness,243
machine,243
bless,243
pictures,242
that'll,242
load,242
emotion,241
rule,241
lil,241
hurting,241
mom,241
stayed,240
beyond,240
it.,240
fellas,240
7,240
choice,239
georgia,239
you’re,239
chasing,238
gangsta,238
coffee,238
wicked,238
wedding,238
class,238
speed,237
settle,237
passing,237
wasted,237
boots,237
belongs,237
bass,236
jane,236
bigger,236
began,236
fucked,236
bend,236
bump,236
beats,236
satisfy,236
moved,235
breaks,235
dangerous,235
smooth,234
blows,234
en,234
worse,234
unless,233
wearing,233
spirit,233
ghost,233
grows,233
fault,233
comfort,232
chest,232
whoo,232
stole,232
softly,232
something's,232
